,index,x0,x1,sigma,c,t,w,iata,latitude,longitude,country,state,region,hub
0,0,0.7076811089749623,-1.974351075156009,0.09513709400966056,0.40054543273799814,230.83912658010712,1.0469624085035798,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.6759074523748215,-1.9667956176016472,0.09513709400966056,0.40054543273799814,230.83912658010712,1.7257341483467246,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.4545400349581657,-2.074674468596453,0.09513709400966056,0.40054543273799814,230.83912658010712,2.345942176842301,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.7887775902301128,-1.3296958356917876,0.09513709400966056,0.40054543273799814,230.83912658010712,0.7774219718060827,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.6748272383815666,-1.4073298448229137,0.09513709400966056,0.40054543273799814,230.83912658010712,9.188461765281623,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.7177428600191893,-1.3557394595104177,0.09513709400966056,0.40054543273799814,230.83912658010712,6.58097620473448,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.784924440382021,-1.7657989354302486,0.09513709400966056,0.40054543273799814,230.83912658010712,2.483946150949679,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.6585461853619797,-1.4387728885247744,0.09513709400966056,0.40054543273799814,230.83912658010712,9.75214714525204,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.7095180500088162,-1.4503588470058375,0.09513709400966056,0.40054543273799814,230.83912658010712,5.996634870080512,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.7296668182500333,-1.526882931441917,0.09513709400966056,0.40054543273799814,230.83912658010712,4.731684916650896,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.6661366972263313,-1.5217334881515996,0.09513709400966056,0.40054543273799814,230.83912658010712,8.515302727691939,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.5783752884942499,-1.7883812640248198,0.09513709400966056,0.40054543273799814,230.83912658010712,2.940279310796884,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.6686154620900693,-1.486282534542248,0.09513709400966056,0.40054543273799814,230.83912658010712,9.34505003129001,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.6575664357941527,-1.4412407065392878,0.09513709400966056,0.40054543273799814,230.83912658010712,6.985688907164475,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.7283373308474327,-1.4826777561309525,0.09513709400966056,0.40054543273799814,230.83912658010712,6.539653630376181,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.6689770350562366,-1.489314360891066,0.09513709400966056,0.40054543273799814,230.83912658010712,9.397630859604165,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.6568208313640493,-1.4386968851454123,0.09513709400966056,0.40054543273799814,230.83912658010712,8.53140253457278,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.6581057736564698,-1.4379394905618823,0.09513709400966056,0.40054543273799814,230.83912658010712,7.824502323099579,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.6287508436548683,-1.6648316788554436,0.09513709400966056,0.40054543273799814,230.83912658010712,9.550949865631281,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.8236743077751006,-1.6980913212124904,0.09513709400966056,0.40054543273799814,230.83912658010712,5.674579461569078,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.6943583810163354,-1.5621238579461512,0.09513709400966056,0.40054543273799814,230.83912658010712,8.07173187429726,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,0.6651620377829708,-1.4672916909481797,0.09513709400966056,0.40054543273799814,230.83912658010712,9.532888010110051,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,0.7472759187240346,-1.3840509888802297,0.09513709400966056,0.40054543273799814,230.83912658010712,4.4186422716075695,ERI,42.08,-80.17861111,US,PA,east,no
23,23,0.5296324014508487,-1.403341352788027,0.09513709400966056,0.40054543273799814,230.83912658010712,8.201166844157926,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,0.7290337281081417,-1.499814558258798,0.09513709400966056,0.40054543273799814,230.83912658010712,6.334591774059265,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,0.626834549936586,-1.521735552142123,0.09513709400966056,0.40054543273799814,230.83912658010712,6.919363001273146,GPT,30.40611111,-89.07027778,US,MS,centre,no
26,26,0.7236997216283495,-1.4682185235592486,0.09513709400966056,0.40054543273799814,230.83912658010712,6.722741001067804,GRB,44.48805556,-88.13055556,US,WI,centre,no
27,27,0.5713838662445418,-1.560960312542467,0.09513709400966056,0.40054543273799814,230.83912658010712,6.998273733070499,GSP,34.89888889,-82.21388889,US,SC,east,no
28,28,0.6632064948693717,-1.467975308450407,0.09513709400966056,0.40054543273799814,230.83912658010712,7.2190856765983105,HSV,34.64277778,-86.77555556,US,AL,centre,no
29,29,0.6427204549089426,-1.4550813551636141,0.09513709400966056,0.40054543273799814,230.83912658010712,9.756381293885124,IAD,38.94166667,-77.4575,US,VA,east,yes
30,30,0.6085653312445205,-1.6512312876103874,0.09513709400966056,0.40054543273799814,230.83912658010712,7.787628977184193,ICT,37.65,-97.43277778,US,KS,centre,no
31,31,0.6126902113731113,-1.4551858740082126,0.09513709400966056,0.40054543273799814,230.83912658010712,6.0627652005737245,ILM,34.26694444,-77.90388889,US,NC,east,no
32,32,0.6677874792431218,-1.488586413012445,0.09513709400966056,0.40054543273799814,230.83912658010712,8.838896626360565,IND,39.72888889,-86.28166667,US,IN,east,no
33,33,0.6163149779494068,-1.4617569560432377,0.09513709400966056,0.40054543273799814,230.83912658010712,7.491183747275982,JAX,30.48472222,-81.68777778,US,FL,east,no
34,34,0.6392342427833091,-1.3445106127125073,0.09513709400966056,0.40054543273799814,230.83912658010712,7.230174952521364,JFK,40.63861111,-73.77694444,US,NY,east,yes
35,35,0.8325596075629381,-1.328539224707077,0.09513709400966056,0.40054543273799814,230.83912658010712,1.8405870873791188,LBE,40.27638889,-79.40277778,US,PA,east,no
36,36,0.6362313863741067,-1.4998305675534305,0.09513709400966056,0.40054543273799814,230.83912658010712,7.3558304080961046,LEX,38.03972222,-84.60222222,US,KY,centre,no
37,37,0.7057732425848836,-1.2492150341793375,0.09513709400966056,0.40054543273799814,230.83912658010712,8.64516471534466,LGA,40.77944444,-73.87583333,US,NY,east,no
38,38,0.6214590342678556,-1.5693466462150687,0.09513709400966056,0.40054543273799814,230.83912658010712,8.212442762660306,LIT,34.72916667,-92.23444444,US,AR,centre,no
39,39,0.6556601344240252,-1.6265982173406488,0.09513709400966056,0.40054543273799814,230.83912658010712,8.850873849593203,MCI,39.2975,-94.71388889,US,MO,centre,no
40,40,0.6346875117814651,-1.6040972614379796,0.09513709400966056,0.40054543273799814,230.83912658010712,8.56230686159795,MCO,28.43166667,-81.32472222,US,FL,east,no
41,41,0.688636777333672,-1.6183160775223084,0.09513709400966056,0.40054543273799814,230.83912658010712,8.701633025619195,MDW,41.785,-87.75194444,US,IL,east,no
42,42,0.6246774936146483,-1.5252502079646133,0.09513709400966056,0.40054543273799814,230.83912658010712,9.08032729028588,MEM,35.04972222,-89.97861111,US,TN,east,no
43,43,0.6693873980310917,-1.4893707273718109,0.09513709400966056,0.40054543273799814,230.83912658010712,9.09958867410308,MKE,42.95027778,-87.89722222,US,WI,centre,no
44,44,0.702863856479768,-1.5466988673660487,0.09513709400966056,0.40054543273799814,230.83912658010712,6.85366116847524,MLI,41.44888889,-90.505,US,IL,east,no
45,45,0.6739674294924244,-1.5917580974437608,0.09513709400966056,0.40054543273799814,230.83912658010712,7.636056447644875,MSN,43.14194444,-89.33694444,US,WI,centre,no
46,46,0.6614101481502145,-1.4451469660794065,0.09513709400966056,0.40054543273799814,230.83912658010712,6.519224523881165,MYR,33.67916667,-78.92972222,US,SC,east,no
47,47,0.6695528289965054,-1.517745178599785,0.09513709400966056,0.40054543273799814,230.83912658010712,9.762672673596143,ORD,41.97805556,-87.90611111,US,IL,east,yes
48,48,0.4846594600531868,-1.5393339020638779,0.09513709400966056,0.40054543273799814,230.83912658010712,2.947661443670463,PGD,26.91916667,-81.99138889,US,FL,east,no
49,49,0.6888118838871629,-1.3680854622224805,0.09513709400966056,0.40054543273799814,230.83912658010712,9.328331252851982,PHL,39.86805556,-75.24861111,US,PA,east,no
50,50,0.5428611314422269,-1.3619141426046746,0.09513709400966056,0.40054543273799814,230.83912658010712,5.588960743498936,PIE,27.90722222,-82.68555556,US,FL,east,no
51,51,0.7089906685498402,-1.4479648691355562,0.09513709400966056,0.40054543273799814,230.83912658010712,8.87562822368438,PIT,40.49666667,-80.23583333,US,PA,east,no
52,52,0.5831667642301273,-1.8514837454579174,0.09513709400966056,0.40054543273799814,230.83912658010712,3.5053314312459474,PUB,38.29277778,-104.49611111,US,CO,west,no
53,53,0.6947897095594285,-1.4244953177925774,0.09513709400966056,0.40054543273799814,230.83912658010712,7.847396123500756,RIC,37.50527778,-77.31972222,US,VA,east,no
54,54,0.6751894613405778,-1.5039828614578679,0.09513709400966056,0.40054543273799814,230.83912658010712,6.0006108540445595,ROA,37.32472222,-79.97638889,US,VA,east,no
55,55,0.5090638033698315,-1.4184018811740993,0.09513709400966056,0.40054543273799814,230.83912658010712,6.910050339295241,RSW,26.53611111,-81.755,US,FL,east,no
56,56,0.6170798177290848,-1.463542783365463,0.09513709400966056,0.40054543273799814,230.83912658010712,5.460418088094516,SFB,28.775,-81.24027778,US,FL,east,no
57,57,0.642092141311584,-1.4195011310776116,0.09513709400966056,0.40054543273799814,230.83912658010712,5.65119411111722,SRQ,27.39388889,-82.55416667,US,FL,east,no
58,58,0.6707340831038738,-1.513463578841857,0.09513709400966056,0.40054543273799814,230.83912658010712,8.679876494630994,STL,38.74722222,-90.36444444,US,MO,centre,no
59,59,0.6525224782801119,-1.6200287375647593,0.09513709400966056,0.40054543273799814,230.83912658010712,8.285997010267687,TUL,36.19777778,-95.88972222,US,OK,centre,no
60,60,0.6706389482730293,-1.4889982382673794,0.09513709400966056,0.40054543273799814,230.83912658010712,7.839542191049879,UTM,34.68083333,-90.34638889,US,MS,centre,no
61,61,0.6574402826432759,-1.5138829161644134,0.09513709400966056,0.40054543273799814,230.83912658010712,5.803084081411587,VPS,30.48333333,-86.52527778,US,FL,east,no
